"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORTDATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2017151765","06-MAR-17","06-MAR-17","06-MAR-17","2207 N HOOKER ST","3132526","1698468","1","121","3563","DRUG - MARIJUANA CULTIVATION","Drug Offenses","NON-INDUSTRY","sloan-lake"
"20184912","03-JAN-18","03-JAN-18","03-JAN-18","4400 E EVANS AVE","3158749","1672408","3","314","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","university-hills"
"20184942","03-JAN-18","03-JAN-18","03-JAN-18","3435 S YOSEMITE ST","3173094","1663993","3","323","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","hampden"
"201666719","01-FEB-16","01-FEB-16","01-FEB-16","5050 N YORK ST","3152054","1712498","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2016317585","21-MAY-16","21-MAY-16","21-MAY-16","3888 E MEXICO AVE","3157004","1674967","3","312","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cory-merrill"
"2015406705","19-JUL-15","","19-JUL-15","16TH ST / CALIFORNIA ST","3142790","1696716","6","611","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","cbd"
"20184840","03-JAN-18","03-JAN-18","03-JAN-18","120 S KALAMATH ST","3140719","1685494","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","baker"
"2015219242","17-APR-15","","22-APR-15","401 16TH ST","3143533","1696058","6","611","3560","DRUG - MARIJUANA SELL","Drug Offenses","INDUSTRY","cbd"
"20184860","03-JAN-18","03-JAN-18","03-JAN-18","755 S FEDERAL BLVD","3133515","1681258","4","412","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","westwood"
"201925397","12-JAN-19","12-JAN-19","12-JAN-19","1255 W VIRGINIA AVE","3139724","1683088","4","412","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","athmar-park"
"201917508","08-JAN-19","","08-JAN-19","1798 W MISSISSIPPI AVE","3138325","1678939","4","422","2305","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","ruby-hill"
"201810675","04-JAN-18","","05-JAN-18","4902 E SMITH RD","3160325","1707718","2","221","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","northeast-park-hill"
"2016329475","26-MAY-16","","26-MAY-16","1055 19TH ST","3143054","1698655","6","611","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","cbd"
"201932859","15-JAN-19","","15-JAN-19","970 N LINCOLN ST","3144577","1691813","6","623","1205","ROBBERY - STREET","Robbery-Street-Res","INDUSTRY","capitol-hill"
"201981384","01-FEB-19","05-FEB-19","05-FEB-19","1270 W CEDAR AVE","3139674","1684892","4","411","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","valverde"
"2019120456","23-FEB-19","","23-FEB-19","3944 N HIGH ST","3150562","1706559","2","211","1313","ASSAULT - SIMPLE","Simple Assault","INDUSTRY","cole"
"20196000343","12-JAN-19","12-JAN-19","12-JAN-19","1001 N GAYLORD ST","3151557","1692291","6","622","2308","THEFT - FROM BLDG","Larceny","NON-INDUSTRY","cheesman-park"
"202050290","23-JAN-20","23-JAN-20","23-JAN-20","399 S HARRISON ST","3157075","1683778","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","belcaro"
"202046773","21-JAN-20","","21-JAN-20","970 S ONEIDA ST","3166714","1679991","3","322","2301","THEFT - PICK POCKET","Larceny","INDUSTRY","washington-virginia-vale"
"2015200687","13-APR-15","","13-APR-15","1100 BLOCK E COLFAX AVE","3148028","1694838","6","623","2399","THEFT - OTHER","Larceny","NON-INDUSTRY","capitol-hill"
"20206000915","25-JAN-20","25-JAN-20","25-JAN-20","2863 LARIMER ST","3145640","1702618","2","211","2999","CRIMINAL MISCHIEF - MTR VEH","Criminal Mischief-Vehicle","NON-INDUSTRY","five-points"
"202047072","21-JAN-20","","21-JAN-20","6858 E EVANS AVE","3166313","1672406","3","323","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","goldsmith"
"2016126405","28-FEB-16","28-FEB-16","28-FEB-16","1005 N FEDERAL BLVD","3133440","1692262","1","122","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","villa-park"
"201664689","30-JAN-16","30-JAN-16","30-JAN-16","1800 S BROADWAY ST","3144343","1674371","3","313","2305","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","NON-INDUSTRY","platt-park"
"2015274152","19-MAY-15","19-MAY-15","19-MAY-15","2424 E 43RD AVE","3152489","1708074","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"201728896","14-JAN-17","14-JAN-17","14-JAN-17","505 W 40TH AVE","3142219","1706451","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","globeville"
"201940566","11-JAN-19","11-JAN-19","18-JAN-19","5200 E SMITH RD","3161542","1707255","2","221","2399","THEFT - OTHER","Larceny","INDUSTRY","northeast-park-hill"
"201850731","22-JAN-18","22-JAN-18","22-JAN-18","4105 N JASON ST","3140597","1706917","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","sunnyside"
"2015439974","15-MAY-15","05-JUL-15","03-AUG-15","330 N FEDERAL BLVD","3133714","1688115","4","411","2605","THEFT - UNAUTH USE OF FTD","All Other Crimes","INDUSTRY","valverde"
"201937484","17-JAN-19","17-JAN-19","17-JAN-19","990 W 6TH AVE","3140766","1689518","3","311","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","baker"
"2015227561","26-APR-15","26-APR-15","26-APR-15","4228 N YORK ST","3152105","1707908","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"20197527","04-JAN-19","04-JAN-19","04-JAN-19","6853 LEETSDALE DR","3166373","1680902","3","322","2399","THEFT - OTHER","Larceny","NON-INDUSTRY","washington-virginia-vale"
"2018134917","16-FEB-18","","26-FEB-18","4228 N YORK ST","3152105","1707908","2","212","2399","THEFT - OTHER","Larceny","INDUSTRY","elyria-swansea"
"201834076","15-JAN-18","","15-JAN-18","875 N NAVAJO ST","3139417","1691262","1","123","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","lincoln-park"
"202013615","07-JAN-20","07-JAN-20","07-JAN-20","1201 W CUSTER PL","3140182","1682761","4","412","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","athmar-park"
"20206594","03-JAN-20","03-JAN-20","03-JAN-20","3555 S YOSEMITE ST","3173020","1662878","3","324","1202","ROBBERY - BUSINESS","Robbery-Business","INDUSTRY","hampden-south"
"2015705224","03-DEC-15","03-DEC-15","04-DEC-15","855 N HUMBOLDT ST","3149127","1691257","6","622","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","cheesman-park"
"202035861","16-JAN-20","","16-JAN-20","6858 E EVANS AVE","3166313","1672406","3","323","1205","ROBBERY - STREET","Robbery-Street-Res","INDUSTRY","goldsmith"
"2017571248","26-AUG-17","","26-AUG-17","901 AURARIA PKWY","3138447","1697339","1","123","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","auraria"
"201843994","19-JAN-18","19-JAN-18","19-JAN-18","1619 W 12TH AVE","3138175","1693265","1","123","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","lincoln-park"
"20207339","04-JAN-20","04-JAN-20","04-JAN-20","6858 E EVANS AVE","3166313","1672406","3","323","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","goldsmith"
"2015166508","27-MAR-15","27-MAR-15","27-MAR-15","1569 S COLORADO BLVD","3157183","1676049","3","312","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cory-merrill"
"201621833","07-JAN-16","","11-JAN-16","754 S BROADWAY ST","3144320","1681252","3","312","3562","DRUG - MARIJUANA POSSESS","Drug Offenses","INDUSTRY","washington-park-west"
"202065877","29-JAN-20","30-JAN-20","30-JAN-20","1568 S FEDERAL BLVD","3133861","1675958","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","ruby-hill"
"20186000131","03-JAN-18","03-JAN-18","04-JAN-18","4015 N ELATI ST","3142282","1706533","1","112","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","globeville"
"201981095","05-FEB-19","","05-FEB-19","4421 N INCA ST","3140992","1708285","1","112","7399","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","sunnyside"
"202017729","08-JAN-20","","08-JAN-20","330 S DAYTON ST","3175842","1683494","3","321","1202","ROBBERY - BUSINESS","Robbery-Business","INDUSTRY","windsor"
"2016539098","24-AUG-16","24-AUG-16","24-AUG-16","4773 N FOX ST","3142062","1710572","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","globeville"
"2016405843","28-JUN-16","28-JUN-16","28-JUN-16","1995 S BROADWAY ST","3144121","1673149","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"202018928","31-DEC-19","","09-JAN-20","1285 W BYERS PL","3139662","1684714","4","411","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","valverde"
"2016429055","07-JUL-16","07-JUL-16","07-JUL-16","1126 S SHERIDAN BLVD","3125821","1678730","4","421","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","mar-lee"
"201979231","04-FEB-19","","06-FEB-19","755 S JASON ST","3140793","1681279","4","412","7399","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","athmar-park"
"20207839","03-JAN-20","03-JAN-20","04-JAN-20","1798 W MISSISSIPPI AVE","3138325","1678939","4","422","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","INDUSTRY","ruby-hill"
"202011119","06-JAN-20","06-JAN-20","06-JAN-20","1755 S BROADWAY ST","3144171","1674691","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"20208696","04-JAN-20","","04-JAN-20","2042 ARAPAHOE ST","3143416","1699249","6","611","2604","FRAUD - CRIMINAL IMPERSONATION","All Other Crimes","INDUSTRY","five-points"
"20206434","03-JAN-20","","03-JAN-20","1201 20TH ST","3142928","1699409","6","612","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","five-points"
"2016258525","26-APR-16","26-APR-16","26-APR-16","985 S LOGAN ST","3145350","1679861","3","312","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","washington-park-west"
"2015640851","01-NOV-15","","01-NOV-15","5300 W WARREN AVE","3125308","1671232","4","421","1208","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","harvey-park"
